"filename", "language", "pip requirements", "Python", "Shell Script", "JavaScript", "XML", "PostCSS", "Markdown", "HTML", "Ignore", "Docker", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 7, 30
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/forms.css", "PostCSS", 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 12, 100, 499
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/login.css", "PostCSS", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 12, 62
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/nav_sidebar.css", "PostCSS", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 26, 151
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/responsive.css", "PostCSS", 0, 0, 0, 0, 0, 677, 0, 0, 0, 0, 31, 201, 909
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/responsive_rtl.css", "PostCSS", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 18, 90
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/rtl.css", "PostCSS", 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 8, 63, 294
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/unusable_password_field.css", "PostCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 4, 20
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/vendor/select2/LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/vendor/select2/select2.css", "PostCSS", 0, 0, 0, 0, 0, 425, 0, 0, 0, 0, 0, 57, 482
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/vendor/select2/select2.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/widgets.css", "PostCSS", 0, 0, 0, 0, 0, 503, 0, 0, 0, 0, 9, 102, 614
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/calendar-icons.svg", "XML", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 1, 64
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/gis/move_vertex_off.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/gis/move_vertex_on.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-addlink.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-alert.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-calendar.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-changelink.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-clock.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-deletelink.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-hidelink.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-no.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-unknown-alt.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-unknown.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-viewlink.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/icon-yes.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/inline-delete.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/search.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/selector-icons.svg", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/sorting-icons.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/tooltag-add.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/img/tooltag-arrowright.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/SelectBox.js", "JavaScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 5, 1, 117
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/SelectFilter2.js", "JavaScript", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 28, 22, 308
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/actions.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 9, 21, 205
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/admin/DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 65, 27, 409
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/admin/RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 14, 23, 253
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/autocomplete.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 4, 34
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/calendar.js", "JavaScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 28, 16, 240
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/cancel.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 3, 30
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/change_form.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 1, 17
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/core.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 19, 18, 185
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/filters.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/inlines.js", "JavaScript", 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 61, 27, 360
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/jquery.init.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 1, 9
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/nav_sidebar.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 1, 6, 80
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/popup_response.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/prepopulate.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 10, 5, 44
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/prepopulate_init.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/theme.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 6, 52
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/unusable_password_field.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 1, 30
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/urlify.js", "JavaScript", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 5, 6, 170
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/jquery/jquery.js", "JavaScript", 0, 0, 0, 6767, 0, 0, 0, 0, 0, 0, 1887, 2063, 10717
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/jquery/jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/af.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/ar.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/az.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/bg.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/bn.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/bs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/ca.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/cs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/da.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/de.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/dsb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/el.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/en.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/es.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/et.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/eu.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/js/vendor/select2/i18n/fa.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
